[Tick #0] Attacker: [DIR: 3; POS: 54,92]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1360] Attacker: [DIR: 3; POS: 30,80]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1361] Attacker: [DIR: 3; POS: 29,80]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1362] Attacker: [DIR: 3; POS: 28,80]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1363] Attacker: [DIR: 3; POS: 27,80]; Defender #0: [DIR: -1; POS: 50,56]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1364] Attacker: [DIR: 3; POS: 26,80]; Defender #0: [DIR: 3; POS: 54,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1365] Attacker: [DIR: 3; POS: 25,80]; Defender #0: [DIR: 3; POS: 53,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1366] Attacker: [DIR: 3; POS: 24,80]; Defender #0: [DIR: 3; POS: 52,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1367] Attacker: [DIR: 3; POS: 23,80]; Defender #0: [DIR: 3; POS: 51,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1368] Attacker: [DIR: 3; POS: 22,80]; Defender #0: [DIR: 3; POS: 50,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1369] Attacker: [DIR: 3; POS: 21,80]; Defender #0: [DIR: 3; POS: 49,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1370] Attacker: [DIR: 3; POS: 20,80]; Defender #0: [DIR: 3; POS: 48,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1371] Attacker: [DIR: 3; POS: 19,80]; Defender #0: [DIR: 3; POS: 47,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1372] Attacker: [DIR: 3; POS: 18,80]; Defender #0: [DIR: 3; POS: 46,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1373] Attacker: [DIR: 3; POS: 17,80]; Defender #0: [DIR: 3; POS: 45,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1374] Attacker: [DIR: 3; POS: 16,80]; Defender #0: [DIR: 3; POS: 44,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1375] Attacker: [DIR: 3; POS: 15,80]; Defender #0: [DIR: 3; POS: 43,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1376] Attacker: [DIR: 3; POS: 14,80]; Defender #0: [DIR: 3; POS: 42,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1377] Attacker: [DIR: 3; POS: 13,80]; Defender #0: [DIR: 3; POS: 41,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1378] Attacker: [DIR: 0; POS: 12,80]; Defender #0: [DIR: 3; POS: 40,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1379] Attacker: [DIR: 0; POS: 12,79]; Defender #0: [DIR: 3; POS: 39,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1380] Attacker: [DIR: 0; POS: 12,78]; Defender #0: [DIR: 3; POS: 38,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1381] Attacker: [DIR: 0; POS: 12,77]; Defender #0: [DIR: 3; POS: 37,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1382] Attacker: [DIR: 0; POS: 12,76]; Defender #0: [DIR: 2; POS: 36,44]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1383] Attacker: [DIR: 0; POS: 12,75]; Defender #0: [DIR: 2; POS: 36,45]; Defender #1: [DIR: -1; POS: 50,56]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1384] Attacker: [DIR: 0; POS: 12,74]; Defender #0: [DIR: 2; POS: 36,46]; Defender #1: [DIR: 1; POS: 54,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1385] Attacker: [DIR: 0; POS: 12,73]; Defender #0: [DIR: 2; POS: 36,47]; Defender #1: [DIR: 1; POS: 55,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1386] Attacker: [DIR: 0; POS: 12,72]; Defender #0: [DIR: 2; POS: 36,48]; Defender #1: [DIR: 1; POS: 56,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1387] Attacker: [DIR: 0; POS: 12,71]; Defender #0: [DIR: 2; POS: 36,49]; Defender #1: [DIR: 1; POS: 57,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1388] Attacker: [DIR: 0; POS: 12,70]; Defender #0: [DIR: 2; POS: 36,50]; Defender #1: [DIR: 1; POS: 58,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1389] Attacker: [DIR: 0; POS: 12,69]; Defender #0: [DIR: 2; POS: 36,51]; Defender #1: [DIR: 1; POS: 59,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1390] Attacker: [DIR: 0; POS: 12,68]; Defender #0: [DIR: 2; POS: 36,52]; Defender #1: [DIR: 1; POS: 60,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1391] Attacker: [DIR: 0; POS: 12,67]; Defender #0: [DIR: 2; POS: 36,53]; Defender #1: [DIR: 1; POS: 61,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1392] Attacker: [DIR: 0; POS: 12,66]; Defender #0: [DIR: 2; POS: 36,54]; Defender #1: [DIR: 1; POS: 62,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1393] Attacker: [DIR: 0; POS: 12,65]; Defender #0: [DIR: 2; POS: 36,55]; Defender #1: [DIR: 1; POS: 63,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1394] Attacker: [DIR: 0; POS: 12,64]; Defender #0: [DIR: 3; POS: 36,56]; Defender #1: [DIR: 1; POS: 64,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1395] Attacker: [DIR: 0; POS: 12,63]; Defender #0: [DIR: 3; POS: 35,56]; Defender #1: [DIR: 1; POS: 65,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1396] Attacker: [DIR: 0; POS: 12,62]; Defender #0: [DIR: 3; POS: 34,56]; Defender #1: [DIR: 1; POS: 66,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1397] Attacker: [DIR: 0; POS: 12,61]; Defender #0: [DIR: 3; POS: 33,56]; Defender #1: [DIR: 1; POS: 67,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1398] Attacker: [DIR: 0; POS: 12,60]; Defender #0: [DIR: 3; POS: 32,56]; Defender #1: [DIR: 1; POS: 68,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1399] Attacker: [DIR: 0; POS: 12,59]; Defender #0: [DIR: 3; POS: 31,56]; Defender #1: [DIR: 1; POS: 69,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1400] Attacker: [DIR: 0; POS: 12,58]; Defender #0: [DIR: 3; POS: 30,56]; Defender #1: [DIR: 1; POS: 70,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1401] Attacker: [DIR: 0; POS: 12,57]; Defender #0: [DIR: 3; POS: 29,56]; Defender #1: [DIR: 1; POS: 71,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1402] Attacker: [DIR: 0; POS: 12,56]; Defender #0: [DIR: 3; POS: 28,56]; Defender #1: [DIR: 0; POS: 72,44]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1403] Attacker: [DIR: 0; POS: 12,55]; Defender #0: [DIR: 3; POS: 27,56]; Defender #1: [DIR: 0; POS: 72,43]; Defender #2: [DIR: -1; POS: 50,56]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1404] Attacker: [DIR: 0; POS: 12,54]; Defender #0: [DIR: 3; POS: 26,56]; Defender #1: [DIR: 0; POS: 72,42]; Defender #2: [DIR: 3; POS: 54,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1405] Attacker: [DIR: 0; POS: 12,53]; Defender #0: [DIR: 3; POS: 25,56]; Defender #1: [DIR: 0; POS: 72,41]; Defender #2: [DIR: 3; POS: 53,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1406] Attacker: [DIR: 0; POS: 12,52]; Defender #0: [DIR: 2; POS: 24,56]; Defender #1: [DIR: 0; POS: 72,40]; Defender #2: [DIR: 3; POS: 52,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1407] Attacker: [DIR: 0; POS: 12,51]; Defender #0: [DIR: 2; POS: 24,57]; Defender #1: [DIR: 0; POS: 72,39]; Defender #2: [DIR: 3; POS: 51,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1408] Attacker: [DIR: 0; POS: 12,50]; Defender #0: [DIR: 2; POS: 24,58]; Defender #1: [DIR: 0; POS: 72,38]; Defender #2: [DIR: 3; POS: 50,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1409] Attacker: [DIR: 0; POS: 12,49]; Defender #0: [DIR: 2; POS: 24,59]; Defender #1: [DIR: 0; POS: 72,37]; Defender #2: [DIR: 3; POS: 49,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1410] Attacker: [DIR: 0; POS: 12,48]; Defender #0: [DIR: 2; POS: 24,60]; Defender #1: [DIR: 0; POS: 72,36]; Defender #2: [DIR: 3; POS: 48,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1411] Attacker: [DIR: 0; POS: 12,47]; Defender #0: [DIR: 2; POS: 24,61]; Defender #1: [DIR: 0; POS: 72,35]; Defender #2: [DIR: 3; POS: 47,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1412] Attacker: [DIR: 0; POS: 12,46]; Defender #0: [DIR: 2; POS: 24,62]; Defender #1: [DIR: 0; POS: 72,34]; Defender #2: [DIR: 3; POS: 46,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1413] Attacker: [DIR: 0; POS: 12,45]; Defender #0: [DIR: 2; POS: 24,63]; Defender #1: [DIR: 0; POS: 72,33]; Defender #2: [DIR: 3; POS: 45,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1414] Attacker: [DIR: 0; POS: 12,44]; Defender #0: [DIR: 2; POS: 24,64]; Defender #1: [DIR: 1; POS: 72,32]; Defender #2: [DIR: 3; POS: 44,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1415] Attacker: [DIR: 0; POS: 12,43]; Defender #0: [DIR: 2; POS: 24,65]; Defender #1: [DIR: 1; POS: 73,32]; Defender #2: [DIR: 3; POS: 43,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1416] Attacker: [DIR: 0; POS: 12,42]; Defender #0: [DIR: 2; POS: 24,66]; Defender #1: [DIR: 1; POS: 74,32]; Defender #2: [DIR: 3; POS: 42,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1417] Attacker: [DIR: 0; POS: 12,41]; Defender #0: [DIR: 2; POS: 24,67]; Defender #1: [DIR: 1; POS: 75,32]; Defender #2: [DIR: 3; POS: 41,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1418] Attacker: [DIR: 0; POS: 12,40]; Defender #0: [DIR: 3; POS: 24,68]; Defender #1: [DIR: 1; POS: 76,32]; Defender #2: [DIR: 3; POS: 40,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1419] Attacker: [DIR: 0; POS: 12,39]; Defender #0: [DIR: 3; POS: 23,68]; Defender #1: [DIR: 1; POS: 77,32]; Defender #2: [DIR: 3; POS: 39,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1420] Attacker: [DIR: 0; POS: 12,38]; Defender #0: [DIR: 3; POS: 22,68]; Defender #1: [DIR: 1; POS: 78,32]; Defender #2: [DIR: 3; POS: 38,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1421] Attacker: [DIR: 0; POS: 12,37]; Defender #0: [DIR: 3; POS: 21,68]; Defender #1: [DIR: 1; POS: 79,32]; Defender #2: [DIR: 3; POS: 37,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1422] Attacker: [DIR: 0; POS: 12,36]; Defender #0: [DIR: 3; POS: 20,68]; Defender #1: [DIR: 1; POS: 80,32]; Defender #2: [DIR: 2; POS: 36,44]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1423] Attacker: [DIR: 0; POS: 12,35]; Defender #0: [DIR: 3; POS: 19,68]; Defender #1: [DIR: 1; POS: 81,32]; Defender #2: [DIR: 2; POS: 36,45]; Defender #3: [DIR: -1; POS: 50,56]; 
[Tick #1424] Attacker: [DIR: 0; POS: 12,34]; Defender #0: [DIR: 3; POS: 18,68]; Defender #1: [DIR: 1; POS: 82,32]; Defender #2: [DIR: 2; POS: 36,46]; Defender #3: [DIR: 1; POS: 54,44]; 
[Tick #1425] Attacker: [DIR: 0; POS: 12,33]; Defender #0: [DIR: 3; POS: 17,68]; Defender #1: [DIR: 1; POS: 83,32]; Defender #2: [DIR: 2; POS: 36,47]; Defender #3: [DIR: 1; POS: 55,44]; 
[Tick #1426] Attacker: [DIR: 0; POS: 12,32]; Defender #0: [DIR: 3; POS: 16,68]; Defender #1: [DIR: 0; POS: 84,32]; Defender #2: [DIR: 2; POS: 36,48]; Defender #3: [DIR: 1; POS: 56,44]; 
[Tick #1427] Attacker: [DIR: 0; POS: 12,31]; Defender #0: [DIR: 3; POS: 15,68]; Defender #1: [DIR: 0; POS: 84,31]; Defender #2: [DIR: 2; POS: 36,49]; Defender #3: [DIR: 1; POS: 57,44]; 
[Tick #1428] Attacker: [DIR: 0; POS: 12,30]; Defender #0: [DIR: 3; POS: 14,68]; Defender #1: [DIR: 0; POS: 84,30]; Defender #2: [DIR: 2; POS: 36,50]; Defender #3: [DIR: 1; POS: 58,44]; 
[Tick #1429] Attacker: [DIR: 0; POS: 12,29]; Defender #0: [DIR: 3; POS: 13,68]; Defender #1: [DIR: 0; POS: 84,29]; Defender #2: [DIR: 2; POS: 36,51]; Defender #3: [DIR: 1; POS: 59,44]; 
[Tick #1430] Attacker: [DIR: 0; POS: 12,28]; Defender #0: [DIR: 0; POS: 12,68]; Defender #1: [DIR: 0; POS: 84,28]; Defender #2: [DIR: 2; POS: 36,52]; Defender #3: [DIR: 1; POS: 60,44]; 
[Tick #1431] Attacker: [DIR: 0; POS: 12,27]; Defender #0: [DIR: 0; POS: 12,67]; Defender #1: [DIR: 0; POS: 84,27]; Defender #2: [DIR: 2; POS: 36,53]; Defender #3: [DIR: 1; POS: 61,44]; 
[Tick #1432] Attacker: [DIR: 0; POS: 12,26]; Defender #0: [DIR: 0; POS: 12,66]; Defender #1: [DIR: 0; POS: 84,26]; Defender #2: [DIR: 2; POS: 36,54]; Defender #3: [DIR: 1; POS: 62,44]; 
[Tick #1433] Attacker: [DIR: 0; POS: 12,25]; Defender #0: [DIR: 0; POS: 12,65]; Defender #1: [DIR: 0; POS: 84,25]; Defender #2: [DIR: 2; POS: 36,55]; Defender #3: [DIR: 1; POS: 63,44]; 
[Tick #1434] Attacker: [DIR: 0; POS: 12,24]; Defender #0: [DIR: 0; POS: 12,64]; Defender #1: [DIR: 0; POS: 84,24]; Defender #2: [DIR: 2; POS: 36,56]; Defender #3: [DIR: 1; POS: 64,44]; 
[Tick #1435] Attacker: [DIR: 0; POS: 12,23]; Defender #0: [DIR: 0; POS: 12,63]; Defender #1: [DIR: 0; POS: 84,23]; Defender #2: [DIR: 2; POS: 36,57]; Defender #3: [DIR: 1; POS: 65,44]; 
[Tick #1436] Attacker: [DIR: 0; POS: 12,22]; Defender #0: [DIR: 0; POS: 12,62]; Defender #1: [DIR: 0; POS: 84,22]; Defender #2: [DIR: 2; POS: 36,58]; Defender #3: [DIR: 1; POS: 66,44]; 
[Tick #1437] Attacker: [DIR: 0; POS: 12,21]; Defender #0: [DIR: 0; POS: 12,61]; Defender #1: [DIR: 0; POS: 84,21]; Defender #2: [DIR: 2; POS: 36,59]; Defender #3: [DIR: 1; POS: 67,44]; 
[Tick #1438] Attacker: [DIR: 0; POS: 12,20]; Defender #0: [DIR: 0; POS: 12,60]; Defender #1: [DIR: 0; POS: 84,20]; Defender #2: [DIR: 2; POS: 36,60]; Defender #3: [DIR: 1; POS: 68,44]; 
[Tick #1439] Attacker: [DIR: 0; POS: 12,19]; Defender #0: [DIR: 0; POS: 12,59]; Defender #1: [DIR: 0; POS: 84,19]; Defender #2: [DIR: 2; POS: 36,61]; Defender #3: [DIR: 1; POS: 69,44]; 
[Tick #1440] Attacker: [DIR: 0; POS: 12,18]; Defender #0: [DIR: 0; POS: 12,58]; Defender #1: [DIR: 0; POS: 84,18]; Defender #2: [DIR: 2; POS: 36,62]; Defender #3: [DIR: 1; POS: 70,44]; 
[Tick #1441] Attacker: [DIR: 0; POS: 12,17]; Defender #0: [DIR: 0; POS: 12,57]; Defender #1: [DIR: 0; POS: 84,17]; Defender #2: [DIR: 2; POS: 36,63]; Defender #3: [DIR: 1; POS: 71,44]; 
[Tick #1442] Attacker: [DIR: 3; POS: 12,16]; Defender #0: [DIR: 0; POS: 12,56]; Defender #1: [DIR: 1; POS: 84,16]; Defender #2: [DIR: 2; POS: 36,64]; Defender #3: [DIR: 1; POS: 72,44]; 
[Tick #1443] Attacker: [DIR: 3; POS: 11,16]; Defender #0: [DIR: 0; POS: 12,55]; Defender #1: [DIR: 1; POS: 85,16]; Defender #2: [DIR: 2; POS: 36,65]; Defender #3: [DIR: 1; POS: 73,44]; 
[Tick #1444] Attacker: [DIR: 3; POS: 10,16]; Defender #0: [DIR: 0; POS: 12,54]; Defender #1: [DIR: 1; POS: 86,16]; Defender #2: [DIR: 2; POS: 36,66]; Defender #3: [DIR: 1; POS: 74,44]; 
[Tick #1445] Attacker: [DIR: 3; POS: 9,16]; Defender #0: [DIR: 0; POS: 12,53]; Defender #1: [DIR: 1; POS: 87,16]; Defender #2: [DIR: 2; POS: 36,67]; Defender #3: [DIR: 1; POS: 75,44]; 
[Tick #1446] Attacker: [DIR: 3; POS: 8,16]; Defender #0: [DIR: 0; POS: 12,52]; Defender #1: [DIR: 1; POS: 88,16]; Defender #2: [DIR: 1; POS: 36,68]; Defender #3: [DIR: 1; POS: 76,44]; 
[Tick #1447] Attacker: [DIR: 3; POS: 7,16]; Defender #0: [DIR: 0; POS: 12,51]; Defender #1: [DIR: 1; POS: 89,16]; Defender #2: [DIR: 1; POS: 37,68]; Defender #3: [DIR: 1; POS: 77,44]; 
[Tick #1448] Attacker: [DIR: 3; POS: 6,16]; Defender #0: [DIR: 0; POS: 12,50]; Defender #1: [DIR: 1; POS: 90,16]; Defender #2: [DIR: 1; POS: 38,68]; Defender #3: [DIR: 1; POS: 78,44]; 
[Tick #1449] Attacker: [DIR: 3; POS: 5,16]; Defender #0: [DIR: 0; POS: 12,49]; Defender #1: [DIR: 1; POS: 91,16]; Defender #2: [DIR: 1; POS: 39,68]; Defender #3: [DIR: 1; POS: 79,44]; 
[Tick #1450] Attacker: [DIR: 0; POS: 4,16]; Defender #0: [DIR: 0; POS: 12,48]; Defender #1: [DIR: 1; POS: 92,16]; Defender #2: [DIR: 1; POS: 40,68]; Defender #3: [DIR: 1; POS: 80,44]; 
[Tick #1451] Attacker: [DIR: 0; POS: 4,15]; Defender #0: [DIR: 0; POS: 12,47]; Defender #1: [DIR: 1; POS: 93,16]; Defender #2: [DIR: 1; POS: 41,68]; Defender #3: [DIR: 1; POS: 81,44]; 
[Tick #1452] Attacker: [DIR: 0; POS: 4,14]; Defender #0: [DIR: 0; POS: 12,46]; Defender #1: [DIR: 1; POS: 94,16]; Defender #2: [DIR: 1; POS: 42,68]; Defender #3: [DIR: 1; POS: 82,44]; 
[Tick #1453] Attacker: [DIR: 0; POS: 4,13]; Defender #0: [DIR: 0; POS: 12,45]; Defender #1: [DIR: 1; POS: 95,16]; Defender #2: [DIR: 1; POS: 43,68]; Defender #3: [DIR: 1; POS: 83,44]; 
[Tick #1454] Attacker: [DIR: 0; POS: 4,12]; Defender #0: [DIR: 0; POS: 12,44]; Defender #1: [DIR: 2; POS: 96,16]; Defender #2: [DIR: 1; POS: 44,68]; Defender #3: [DIR: 1; POS: 84,44]; 
[Tick #1455] Attacker: [DIR: 0; POS: 4,11]; Defender #0: [DIR: 0; POS: 12,43]; Defender #1: [DIR: 2; POS: 96,17]; Defender #2: [DIR: 1; POS: 45,68]; Defender #3: [DIR: 1; POS: 85,44]; 
[Tick #1456] Attacker: [DIR: 0; POS: 4,10]; Defender #0: [DIR: 0; POS: 12,42]; Defender #1: [DIR: 2; POS: 96,18]; Defender #2: [DIR: 1; POS: 46,68]; Defender #3: [DIR: 1; POS: 86,44]; 
[Tick #1457] Attacker: [DIR: 2; POS: 4,9]; Defender #0: [DIR: 0; POS: 12,41]; Defender #1: [DIR: 2; POS: 96,19]; Defender #2: [DIR: 1; POS: 47,68]; Defender #3: [DIR: 1; POS: 87,44]; 
[Tick #1458] Attacker: [DIR: 0; POS: 4,10]; Defender #0: [DIR: 0; POS: 12,40]; Defender #1: [DIR: 2; POS: 96,20]; Defender #2: [DIR: 1; POS: 48,68]; Defender #3: [DIR: 1; POS: 88,44]; 
[Tick #1459] Attacker: [DIR: 2; POS: 4,9]; Defender #0: [DIR: 0; POS: 12,39]; Defender #1: [DIR: 2; POS: 96,21]; Defender #2: [DIR: 1; POS: 49,68]; Defender #3: [DIR: 1; POS: 89,44]; 
[Tick #1460] Attacker: [DIR: 0; POS: 4,10]; Defender #0: [DIR: 0; POS: 12,38]; Defender #1: [DIR: 2; POS: 96,22]; Defender #2: [DIR: 1; POS: 50,68]; Defender #3: [DIR: 1; POS: 90,44]; 
[Tick #1461] Attacker: [DIR: 2; POS: 4,9]; Defender #0: [DIR: 0; POS: 12,37]; Defender #1: [DIR: 2; POS: 96,23]; Defender #2: [DIR: 1; POS: 51,68]; Defender #3: [DIR: 1; POS: 91,44]; 
[Tick #1462] Attacker: [DIR: 0; POS: 4,10]; Defender #0: [DIR: 0; POS: 12,36]; Defender #1: [DIR: 2; POS: 96,24]; Defender #2: [DIR: 1; POS: 52,68]; Defender #3: [DIR: 1; POS: 92,44]; 
[Tick #1463] Attacker: [DIR: 2; POS: 4,9]; Defender #0: [DIR: 0; POS: 12,35]; Defender #1: [DIR: 2; POS: 96,25]; Defender #2: [DIR: 1; POS: 53,68]; Defender #3: [DIR: 1; POS: 93,44]; 
[Tick #1464] Attacker: [DIR: 0; POS: 4,10]; Defender #0: [DIR: 0; POS: 12,34]; Defender #1: [DIR: 2; POS: 96,26]; Defender #2: [DIR: 1; POS: 54,68]; Defender #3: [DIR: 1; POS: 94,44]; 
[Tick #1465] Attacker: [DIR: 2; POS: 4,9]; Defender #0: [DIR: 0; POS: 12,33]; Defender #1: [DIR: 2; POS: 96,27]; Defender #2: [DIR: 1; POS: 55,68]; Defender #3: [DIR: 1; POS: 95,44]; 
[Tick #1466] Attacker: [DIR: 0; POS: 4,10]; Defender #0: [DIR: 0; POS: 12,32]; Defender #1: [DIR: 2; POS: 96,28]; Defender #2: [DIR: 1; POS: 56,68]; Defender #3: [DIR: 0; POS: 96,44]; 
[Tick #1467] Attacker: [DIR: 2; POS: 4,9]; Defender #0: [DIR: 0; POS: 12,31]; Defender #1: [DIR: 2; POS: 96,29]; Defender #2: [DIR: 1; POS: 57,68]; Defender #3: [DIR: 0; POS: 96,43]; 
[Tick #1468] Attacker: [DIR: 0; POS: 4,10]; Defender #0: [DIR: 0; POS: 12,30]; Defender #1: [DIR: 2; POS: 96,30]; Defender #2: [DIR: 1; POS: 58,68]; Defender #3: [DIR: 0; POS: 96,42]; 
[Tick #1469] Attacker: [DIR: 2; POS: 4,9]; Defender #0: [DIR: 0; POS: 12,29]; Defender #1: [DIR: 2; POS: 96,31]; Defender #2: [DIR: 1; POS: 59,68]; Defender #3: [DIR: 0; POS: 96,41]; 
[Tick #1470] Attacker: [DIR: 0; POS: 4,10]; Defender #0: [DIR: 0; POS: 12,28]; Defender #1: [DIR: 1; POS: 96,32]; Defender #2: [DIR: 1; POS: 60,68]; Defender #3: [DIR: 0; POS: 96,40]; 
